source,title,authors,year,published,abstract,url,query
arXiv,Energy Tank-based Control Framework for Satisfying the ISO/TS 15066 Constraint,Federico Benzi; Federica Ferraguti; Cristian Secchi,2023,2023-04-27,"The technical specification ISO/TS 15066 provides the foundational elements for assessing the safety of collaborative human-robot cells, which are the cornerstone of the modern industrial paradigm. The standard implementation of the ISO/TS 15066 procedure, however, often results in conservative motions of the robot, with consequently low performance of the cell. In this paper, we propose an energy tank-based approach that allows to directly satisfy the energetic bounds imposed by the ISO/TS 1506",http://arxiv.org/abs/2304.14059v1,ISO 15066 speed separation monitoring cobot
arXiv,Evolution of Safety Requirements in Industrial Robotics: Comparative Analysis of ISO 10218-1/2 (2011 vs. 2025) and Integration of ISO/TS 15066,Daniel Hartmann; Kristýna Hamříková; Aleš Vysocký; Vendula Laciok; Aleš Bernatík,2026,2026-02-19,"Industrial robotics has established itself as an integral component of large-scale manufacturing enterprises. Simultaneously, collaborative robotics is gaining prominence, introducing novel paradigms of human-machine interaction. These advancements have necessitated a comprehensive revision of safety standards, specifically incorporating requirements for cybersecurity and protection against unauthorized access in networked robotic systems. This article presents a comparative analysis of the ISO ",http://arxiv.org/abs/2602.17822v1,ISO 15066 speed separation monitoring cobot
arXiv,Understanding galaxy formation with ISO deep surveys,David Elbaz,2005,2005-03-17,"We present the results obtained through the various ISO extragalactic deep surveys. While IRAS revealed the existence of galaxies forming stars at a rate of a few tens (LIRGs) or even hundreds (ULIRGs) solar masses in the local universe, ISO not only discovered that these galaxies were already in place at redshift one, but also that they are not the extreme objects that we once believed them to be. Instead they appear to play a dominant role in shaping present-day galaxies as reflected by their ",http://arxiv.org/abs/astro-ph/0503389v1,ISO 15066 speed separation monitoring cobot
arXiv,Safe Physical Human-Robot Interaction through Variable Impedance Control based on ISO/TS 15066,Armin Ghanbarzadeh; Esmaeil Najafi,2023,2023-11-23,"The successful implementation of Physical Human-Robot Interaction in industrial environments depends on ensuring safe collaboration between human operators and robotic devices. This necessitates the adoption of measures that guarantee the safety of human operators in close proximity to robots, without constraining the speed and motion of the robotic systems. This paper proposes a novel variable impedance-based controller for cobots that ensures safe collaboration by adhering to the ISO/TS 15066 ",http://arxiv.org/abs/2311.13814v1,ISO 15066 speed separation monitoring cobot
arXiv,ISO impact on stellar models and vice versa,L. Decin; C. Waelkens; K. Eriksson; B. Gustafsson; B. Plez et al.,2000,2000-08-23,"We present a detailed spectroscopic study of a sample of bright, mostly cool, stars observed with the Short-Wavelength Spectrometer (SWS) on board the Infrared Space Observatory (ISO), which enables the accurate determination of the stellar parameters of the cool giants, but also serves as a critical review of the ISO-SWS calibration.",http://arxiv.org/abs/astro-ph/0008362v1,ISO 15066 speed separation monitoring cobot
arXiv,The European Large Area ISO Survey - ISOPHOT results using the MPIA-pipeline,C. Surace; P. Heraudeau; D. Lemke; S. Oliver; M. Rowan-Robinson et al.,1998,1998-12-07,"The European Large Area ISO Survey (ELAIS) will provide Infrared observations of 4 regions in the sky with ISO. Around 2000 Infrared sources have been detected at 7 and 15 microns (with ISOCAM), 90 and 175 microns (with ISOPHOT)) over 13 square degrees of the sky. We present the source extraction pipeline of the 90 microns ISOPHOT observations, describe and discuss the results obtained and derive the limits of the ELAIS observational strategy.",http://arxiv.org/abs/astro-ph/9812127v1,ISO 15066 speed separation monitoring cobot
arXiv,ISO's Contribution to the Study of Clusters of Galaxies,L. Metcalfe; D. Fadda; A. Biviano,2005,2005-06-17,"Starting with nearby galaxy clusters like Virgo and Coma, and continuing out to the furthest galaxy clusters for which ISO results have yet been published ($z=0.56$), we discuss the development of knowledge of the infrared and associated physical properties of galaxy clusters from early IRAS observations, through the ""ISO-era"" to the present, in order to explore the status of ISO's contribution to this field. Relevant IRAS and ISO programmes are reviewed, addressing both the cluster galaxies and",http://arxiv.org/abs/astro-ph/0506421v3,ISO 15066 speed separation monitoring cobot
arXiv,Night-sky brightness monitoring in Hong Kong - a city-wide light pollution assessment,Chun Shing Jason Pun; Chu Wing So,2011,2011-06-20,"Results of the first comprehensive light pollution survey in Hong Kong are presented. The night-sky brightness was measured and monitored around the city using a portable light sensing device called the Sky Quality Meter over a 15-month period beginning in March 2008. A total of 1,957 data sets were taken at 199 distinct locations, including urban and rural sites covering all 18 Administrative Districts of Hong Kong. The survey shows that the environmental light pollution problem in Hong Kong is",http://arxiv.org/abs/1106.3842v1,ISO 15066 speed separation monitoring cobot
arXiv,Parameter monitoring system of the Dubna Gas-Filled Recoil Separator,Y. S. Tsyganov; A. N. Polyakov; A. M. Sukhov,2015,2015-06-06,"PC-based one-crate monitoring and control system of the Dubna Gas Filled Recoil Separator (DGFRS) is considered. It is developed for the long-term experiments at the U400 FLNR cyclotron and is aimed at the synthesis of super heavy nuclei in heavy ion induced complete fusion reactions. Parameters related to:   a) beam and cyclotron;   b) separator by itself,   c) detection system,   d) target and entrance window are measured and stored in the protocol file of the experiment. Special attention is ",http://arxiv.org/abs/1506.02122v1,ISO 15066 speed separation monitoring cobot
arXiv,ISO and the Cosmic Infrared Background,Herve Dole,2002,2002-11-13,"ISO observed, for the first time to such a high sensitivity level, the mid- and far-infrared universe. A Number of deep surveys were performed to probe the cosmological evolution of galaxies. In this review, I discuss and summarize results of mid-infrared ISOCAM and far-infrared ISOPHOT surveys, and show how our vision of the extragalactic infrared universe has become more accurate. In particular, ISO allowed us to resolve into sources a significant fraction of the Cosmic Infrared Background (CI",http://arxiv.org/abs/astro-ph/0211310v2,ISO 15066 speed separation monitoring cobot
arXiv,FABRIC: A Framework for the Design and Evaluation of Collaborative Robots with Extended Human Adaptation,O. Can Görür; Benjamin Rosman; Fikret Sivrikaya; Sahin Albayrak,2021,2021-04-05,"A limitation for collaborative robots (cobots) is their lack of ability to adapt to human partners, who typically exhibit an immense diversity of behaviors. We present an autonomous framework as a cobot's real-time decision-making mechanism to anticipate a variety of human characteristics and behaviors, including human errors, toward a personalized collaboration. Our framework handles such behaviors in two levels: 1) short-term human behaviors are adapted through our novel Anticipatory Partially",http://arxiv.org/abs/2104.01976v2,human robot collaboration hesitation adaptive control
arXiv,CoHRT: A Collaboration System for Human-Robot Teamwork,Sujan Sarker; Haley N. Green; Mohammad Samin Yasar; Tariq Iqbal,2024,2024-10-11,"Collaborative robots are increasingly deployed alongside humans in factories, hospitals, schools, and other domains to enhance teamwork and efficiency. Systems that seamlessly integrate humans and robots into cohesive teams for coordinated and efficient task execution are needed, enabling studies on how robot collaboration policies affect team performance and teammates' perceived fairness, trust, and safety. Such a system can also be utilized to study the impact of a robot's normative behavior o",http://arxiv.org/abs/2410.08504v1,human robot collaboration hesitation adaptive control
arXiv,Extended Reality for Enhanced Human-Robot Collaboration: a Human-in-the-Loop Approach,Yehor Karpichev; Todd Charter; Jayden Hong; Amir M. Soufi Enayati; Homayoun Honari et al.,2024,2024-03-21,"The rise of automation has provided an opportunity to achieve higher efficiency in manufacturing processes, yet it often compromises the flexibility required to promptly respond to evolving market needs and meet the demand for customization. Human-robot collaboration attempts to tackle these challenges by combining the strength and precision of machines with human ingenuity and perceptual understanding. In this paper, we conceptualize and propose an implementation framework for an autonomous, ma",http://arxiv.org/abs/2403.14597v3,human robot collaboration hesitation adaptive control
